Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
81,RR-08,150.320000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
82,RR-09,150.365000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
83,RR-10,150.410000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
84,RR-11,150.440000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
85,RR-12,150.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
86,RR-13,150.530000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
87,RR-14,150.545000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
88,RR-15,150.560000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
89,RR-16,150.590000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
90,RR-17,150.680000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
91,RR-18,150.710000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
92,RR-19,150.770000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
93,RR-20,150.830000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
94,RR-21,151.010000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
95,RR-22,151.130000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
96,RR-23,151.190000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
97,RR-24,151.220000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
98,RR-25,151.310000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
99,RR-26,151.340000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
100,RR-27,151.370000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
101,RR-28,151.430000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
102,RR-29,151.460000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
103,RR-30,151.490000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
104,RR-31,151.520000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
105,RR-32,151.580000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
